"","Parameter","Type","Unit","Protocols","Description","Sources","Protocols count"
"11","device.type.id","number","","[1,5,7,9,11,13,14,15,16,17,20,22,23,24,25,26,30,33,34,35,37,38,39,42,43,44,45,46,80,81,82,116,117,118,119,120,122,123,125,191,192,193,194,199,200,233,234,235,236,237,238,239,240,241,242,243,244,245,249,250,252,253,254,287,289,290,291,292,293,294,295,296,297,298,308,309,310,316,317,318,319,320,321,324,325,326,361,362,395,396,398,399,402,403,404,405,406,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,425,433,435,436,437,439,440,441,442,443,476,510,511,512,513,514,515,516,517,518,552,553,554,555,556,557,603,608,617,621,622,660,720,725,767,776,810,815,826,849,850,865,870,872,914,919,930]","ID of device type of device that received a message","{}",160
"50","driver.message","string","","[7,11,13,24,35,44,362]","Driver text message content","{""7"":[""#M""],""13"":[""Message ID 0x0300"",""Protocol Number 0x15""],""44"":[""Record type 12""]}",7
"52","device.configuration.id","number","","[5,14,194,240,244,249,320]","Configuration profile index","{""5"":[""Command ID 0x01 with IO ID 28"",""Command ID 0x44 with IO ID 28""],""14"":[""AVL ID 22""],""240"":[""AVL ID 22""],""244"":[""AVL ID 22""],""249"":[""EID 0x3F1""]}",7
"54","image.timestamp","number","seconds","[33]","Timestamp when image was taken. Used only in case device does not send image data","{""33"":[""Report GTPHL""]}",1
"55","device.model","string","","[13,17,30,119,123,125,192,242,252,293,294,325,603,810,815,930]","Device model ID string","{""13"":[""Message ID 0x0100""],""123"":[""Data type id: 0x20 of Message ID 0x0020"",""Message ID 0x6E of Message type 0x20""],""125"":[""ALT Report"",""Alert Report"",""DEX Report"",""EMG Report"",""EVT Report"",""HTE Report"",""JID Report"",""Location Report"",""NBR Report Header"",""OVD Report Header"",""PID Report"",""STT Report"",""TCR Report Header"",""UEX Report"",""VIN Report"",""VIN Report Header""],""252"":[""Message ID 0x0100""],""325"":[""Message ID 0x0100""],""810"":[""Tag 0x2406 of Frame Type 0x0101"",""Tag 0x2406 of Frame Type 0x0102"",""Tag 0x2406 of Frame Type 0x0103"",""Tag 0x2406 of Frame Type 0x0104""],""815"":[""Property dev_model""]}",16
"57","payload.hex","string","","[5,9,13,14,20,23,25,33,42,116,119,125,193,235,250,293,309,310,415,417,418,419,437,517,552,553,608,776,850,865,919]","HEX Payload received from device","{""5"":[""Command ID 0x0E""],""9"":[""Command type 110""],""13"":[""Protocol Number 0x70"",""Protocol Number 0x9B""],""14"":[""AVL ID 10611...10612"",""Command type 0x06""],""20"":[""Message Type 7"",""Message Type 8""],""23"":[""Message Type 6 with Event code 33""],""25"":[""Data Type 9""],""33"":[""Report GTDAM"",""Report GTDTT""],""42"":[""Message Type 11"",""Message Type 4"",""Message Type 9""],""119"":[""Message Type 0x31""],""125"":[""UEX Report""],""193"":[""Protocol ID 0xB00E""],""250"":[""Extend fourth type 12 of Extended data type 4 of CSRC 2 of Payload type 22""],""309"":[""Sensor ID 0xE000...0xEFFF""],""417"":[""Message ID 0x0900""],""437"":[""Information Element 0x02""],""517"":[""HEX format Payload(Type=0)""],""552"":[""Message ID 0x0900"",""Message ID 0x0F00...0x0FFF""],""553"":[""Packet head BMR""],""608"":[""Function BT""],""776"":[""Message ID 0x0900"",""Message ID 0x0F00...0x0FFF""],""850"":[""Message ID 0x0900"",""Message ID 0x0F00...0x0FFF""],""865"":[""Message ID 0x0900""],""919"":[""Message ID 0x0900"",""Message ID 0x0F00...0x0FFF""]}",31
"58","air.pressure","number","bar","[119]","Air pressure","{""119"":[""Message Type 0x0001""]}",1
"59","sensor.humidity","number","percentage","[5,13,14,20,23,24,33,122,234,235,294,417,436,513,517,553,608,660]","Humidity sensor value, i.e. relative air humidity level","{""5"":[""Command ID 0x01 with IO ID 817...820"",""Command ID 0x44 with IO ID 817...820""],""13"":[""Protocol Number 0x94 with Information Type 0x1E"",""Protocol Number 0x94 with Information Type 0x58""],""14"":[""AVL ID 10487...10492""],""20"":[""Module 28""],""23"":[""Parameter #TH1#"",""Parameter #TH2#"",""Parameter #TH3#"",""Parameter #TH4#""],""24"":[""Data field %HT""],""33"":[""Data ID 122"",""Report GTBPL"",""Report GTDOG"",""Report GTERI"",""Report GTFRI"",""Report GTINF"",""Report GTLSA"",""Report GTMSA"",""Report GTNMR"",""Report GTRFM"",""Report GTTHA""],""234"":[""Report GTRSS""],""417"":[""Extension ID 0xF6 of Message ID 0x0200""],""436"":[""Report GTRSS""],""513"":[""Extension ID 0xF6 of Message ID 0x0200""],""517"":[""HEX format Payload(Type=0)""],""553"":[""Packet head RPT""],""608"":[""Addition data M""],""660"":[""Protocol Number 0x22""]}",18
"61","payload.text","string","","[13,14,23,33,116,120,123,125,200,234,292,310,317,321,361,406,408,418,420,554,557]","Text Payload received from device","{""13"":[""Protocol Number 0x94 with Information Type 0x04"",""Protocol Number 0x9C"",""Protocol Number 0xAA""],""14"":[""Command type 0x05"",""Command type 0x06""],""23"":[""Message Type 6 with Event code 33""],""33"":[""Report GTDAT"",""Report GTDTT"",""Report GTNRI"",""Report GTSVR""],""120"":[""Message Type 0x81""],""125"":[""UEX Report""],""200"":[""Instruction type K0"",""Instruction type U0"",""Instruction type U3"",""Instruction type Z0""],""234"":[""Report TX""],""406"":[""aux_data""],""418"":[""Protocol Number 0x15""],""420"":[""Protocol Number 0x15""]}",21
"62","wifi.mac.address","string","","[9,13,14,24,30,33,44,120,123,200,235,239,242,252,254,289,290,297,316,317,321,408,410,415,417,425,435,440,441,513,515,608,767]","WiFi MAC address","{""9"":[""Command type CCE with Parameter ID 0x1D...0x24"",""Command type CFF with Parameter ID 0x1D...0x24""],""13"":[""Protocol Number 0x2C"",""Protocol Number 0x32"",""Protocol Number 0x33"",""Protocol Number 0x70"",""Protocol Number 0xA2"",""Protocol Number 0xA9"",""Protocol Number 0xB0"",""Protocol Number 0xC3""],""14"":[""AVL ID 25036...25041""],""24"":[""Data field %MA"",""Data field %WP""],""30"":[""Extending command 0x005E of Additional info ID 0xEB""],""33"":[""Data ID 100"",""Report GTWFI"",""Report GTWFS""],""44"":[""Record type 13""],""120"":[""Message Type 0x15"",""Message Type 0x24"",""Message Type 0x25"",""Message Type 0x62"",""Message Type 0x64""],""123"":[""Data type id: 0x01 of Message ID 0x0020"",""Message ID 0x65 of Message type 0x20""],""200"":[""Instruction type D2""],""239"":[""wifi""],""252"":[""Message ID 0x0202""],""254"":[""Command 0x01 with Key 0x19"",""Command 0x01 with Key 0x22"",""Command 0x01 with Key 0x2A"",""Command 0x03 with Key 0x22""],""415"":[""Protocol Number 0x17"",""Protocol Number 0x18"",""Protocol Number 0x19"",""Protocol Number 0x69""],""417"":[""Extension ID 0xF4 of Message ID 0x0200""],""425"":[""Message type 0x04 with Field ID 25""],""435"":[""Wi-Fi data""],""441"":[""Command *V5""],""513"":[""Extension ID 0xF4 of Message ID 0x0200""],""515"":[""Notification type 'properties' of Pub type 'notifications'""],""608"":[""Addition data Q""],""767"":[""Data type major 0x04""]}",33
